frame_no,x1,y1,x2,y2,label,filename,xc,yc,w,h
772,498.000000,92.500000,504.000000,107.500000,stop,frame_000772.jpg,0.782813,0.208333,0.009375,0.031250
773,498.000000,92.500000,504.000000,107.500000,stop,frame_000773.jpg,0.782813,0.208333,0.009375,0.031250
774,498.000000,93.500000,504.000000,108.500000,stop,frame_000774.jpg,0.782813,0.210417,0.009375,0.031250
775,498.000000,93.500000,504.000000,108.500000,stop,frame_000775.jpg,0.782813,0.210417,0.009375,0.031250
776,499.000000,94.500000,505.000000,109.500000,stop,frame_000776.jpg,0.784375,0.212500,0.009375,0.031250
777,500.000000,95.500000,506.000000,110.500000,stop,frame_000777.jpg,0.785938,0.214583,0.009375,0.031250
778,501.000000,95.500000,507.000000,110.500000,stop,frame_000778.jpg,0.787500,0.214583,0.009375,0.031250
779,501.000000,95.500000,507.000000,110.500000,stop,frame_000779.jpg,0.787500,0.214583,0.009375,0.031250
780,501.000000,95.500000,507.000000,110.500000,stop,frame_000780.jpg,0.787500,0.214583,0.009375,0.031250
781,501.000000,93.500000,507.000000,108.500000,stop,frame_000781.jpg,0.787500,0.210417,0.009375,0.031250
782,501.000000,93.500000,507.000000,108.500000,stop,frame_000782.jpg,0.787500,0.210417,0.009375,0.031250
783,502.000000,92.500000,508.000000,107.500000,stop,frame_000783.jpg,0.789062,0.208333,0.009375,0.031250
784,503.000000,91.500000,509.000000,106.500000,stop,frame_000784.jpg,0.790625,0.206250,0.009375,0.031250
785,503.000000,89.500000,509.000000,104.500000,stop,frame_000785.jpg,0.790625,0.202083,0.009375,0.031250
786,503.000000,88.500000,509.000000,103.500000,stop,frame_000786.jpg,0.790625,0.200000,0.009375,0.031250
787,504.000000,88.500000,510.000000,103.500000,stop,frame_000787.jpg,0.792188,0.200000,0.009375,0.031250
788,505.000000,89.500000,511.000000,104.500000,stop,frame_000788.jpg,0.793750,0.202083,0.009375,0.031250
789,506.000000,89.500000,512.000000,104.500000,stop,frame_000789.jpg,0.795313,0.202083,0.009375,0.031250
790,507.000000,89.500000,513.000000,104.500000,stop,frame_000790.jpg,0.796875,0.202083,0.009375,0.031250
791,507.000000,89.500000,513.000000,104.500000,stop,frame_000791.jpg,0.796875,0.202083,0.009375,0.031250
792,508.000000,91.500000,514.000000,106.500000,stop,frame_000792.jpg,0.798438,0.206250,0.009375,0.031250
793,509.000000,93.500000,515.000000,108.500000,stop,frame_000793.jpg,0.800000,0.210417,0.009375,0.031250
794,510.000000,95.500000,516.000000,110.500000,stop,frame_000794.jpg,0.801563,0.214583,0.009375,0.031250
795,512.000000,95.500000,518.000000,110.500000,stop,frame_000795.jpg,0.804688,0.214583,0.009375,0.031250
796,512.000000,94.500000,518.000000,109.500000,stop,frame_000796.jpg,0.804688,0.212500,0.009375,0.031250
797,513.000000,93.500000,519.000000,108.500000,stop,frame_000797.jpg,0.806250,0.210417,0.009375,0.031250
798,514.000000,93.500000,520.000000,108.500000,stop,frame_000798.jpg,0.807813,0.210417,0.009375,0.031250
799,515.000000,94.500000,521.000000,109.500000,stop,frame_000799.jpg,0.809375,0.212500,0.009375,0.031250
800,516.000000,95.500000,522.000000,110.500000,stop,frame_000800.jpg,0.810938,0.214583,0.009375,0.031250
801,517.000000,97.500000,523.000000,112.500000,stop,frame_000801.jpg,0.812500,0.218750,0.009375,0.031250
802,518.000000,99.500000,524.000000,114.500000,stop,frame_000802.jpg,0.814063,0.222917,0.009375,0.031250
803,519.000000,99.500000,525.000000,114.500000,stop,frame_000803.jpg,0.815625,0.222917,0.009375,0.031250
804,520.000000,98.500000,526.000000,113.500000,stop,frame_000804.jpg,0.817188,0.220833,0.009375,0.031250
805,520.000000,96.500000,526.000000,111.500000,stop,frame_000805.jpg,0.817188,0.216667,0.009375,0.031250
806,521.000000,95.500000,527.000000,110.500000,stop,frame_000806.jpg,0.818750,0.214583,0.009375,0.031250
807,521.000000,93.500000,527.000000,108.500000,stop,frame_000807.jpg,0.818750,0.210417,0.009375,0.031250
808,522.000000,93.500000,528.000000,108.500000,stop,frame_000808.jpg,0.820312,0.210417,0.009375,0.031250
809,522.000000,92.500000,528.000000,107.500000,stop,frame_000809.jpg,0.820312,0.208333,0.009375,0.031250
810,523.000000,92.500000,529.000000,107.500000,stop,frame_000810.jpg,0.821875,0.208333,0.009375,0.031250
811,524.000000,93.500000,530.000000,108.500000,stop,frame_000811.jpg,0.823438,0.210417,0.009375,0.031250
812,524.000000,93.500000,530.000000,108.500000,stop,frame_000812.jpg,0.823438,0.210417,0.009375,0.031250
813,525.000000,93.500000,531.000000,108.500000,stop,frame_000813.jpg,0.825000,0.210417,0.009375,0.031250
814,526.000000,93.500000,532.000000,108.500000,stop,frame_000814.jpg,0.826563,0.210417,0.009375,0.031250
815,526.000000,93.500000,532.000000,108.500000,stop,frame_000815.jpg,0.826563,0.210417,0.009375,0.031250
816,526.000000,93.500000,532.000000,108.500000,stop,frame_000816.jpg,0.826563,0.210417,0.009375,0.031250
817,525.000000,92.500000,531.000000,107.500000,stop,frame_000817.jpg,0.825000,0.208333,0.009375,0.031250
818,525.000000,92.500000,531.000000,107.500000,stop,frame_000818.jpg,0.825000,0.208333,0.009375,0.031250
819,524.000000,92.500000,530.000000,107.500000,stop,frame_000819.jpg,0.823438,0.208333,0.009375,0.031250
820,523.000000,93.500000,529.000000,108.500000,stop,frame_000820.jpg,0.821875,0.210417,0.009375,0.031250
821,523.000000,94.500000,529.000000,109.500000,stop,frame_000821.jpg,0.821875,0.212500,0.009375,0.031250
822,522.000000,94.500000,528.000000,109.500000,stop,frame_000822.jpg,0.820312,0.212500,0.009375,0.031250
823,521.000000,94.500000,527.000000,109.500000,stop,frame_000823.jpg,0.818750,0.212500,0.009375,0.031250
